ID,ORIGINAL_ID,DEST
88,1005,"140.2099157,35.56066679"
89,1005,"140.1878787,35.72917322"
90,1005,"140.1872558,36.07592598"
91,1005,"140.1857655,35.97183372"
92,1005,"140.1852943,35.92250619"
93,1005,"140.1792373,35.67162872"
94,1005,"140.1745175,35.61978723"
95,1005,"140.1706011,35.4792124"
96,1005,"140.1696033,35.54641415"
97,1005,"140.1684141,36.04187123"
98,1005,"140.1679534,35.8661042"
99,1005,"140.1608646,36.14087324"
100,1005,"140.1602509,35.57985421"
101,1005,"140.1530228,35.34489419"
102,1005,"140.1442674,35.62950845"
103,1005,"140.1409763,35.8119327"
104,1005,"140.139205,35.58993534"
105,1005,"140.1377107,35.61056194"
106,1005,"140.1327775,35.52011271"
107,1005,"140.1325577,35.64046145"
108,1005,"140.1319723,35.56040573"
109,1005,"140.1224036,35.60828301"
110,1005,"140.1221102,35.65601562"
111,1005,"140.1207554,35.72509161"
112,1005,"140.1170764,35.6204892"
113,1005,"140.1165466,36.08730063"
114,1005,"140.1123083,35.99440834"
115,1005,"140.1092682,35.60921953"
116,1005,"140.1050328,36.05376523"
117,1005,"140.1039883,35.91949867"
118,1005,"140.1034656,35.63590857"
119,1005,"140.1029216,35.68157186"
120,1005,"140.1026747,35.5817889"
121,1005,"140.1020059,35.75228789"
122,1005,"140.0949645,35.86335932"
123,1005,"140.0882969,35.63544978"
124,1005,"140.0864065,35.70861142"
125,1005,"140.0863634,35.6161539"
126,1005,"140.0832768,35.89609862"
127,1005,"140.0827092,36.1832944"
128,1005,"140.07295,35.65073679"
129,1005,"140.0701806,35.47157688"
130,1005,"140.0648446,35.63002328"
131,1005,"140.0601307,35.80159378"
132,1005,"140.0583783,35.69052951"
133,16347,"139.798086,35.72266805"
134,16347,"139.7114384,36.17378443"
135,16347,"139.9807101,35.68395688"
136,16347,"139.7995729,35.67318708"
137,16347,"139.7420897,35.86220322"
138,16347,"139.7119866,35.52700691"
139,16347,"140.1092682,35.60921953"
