node.ID,node.`closeness`,node.DEST,node.ORIG
788,0.504201681,"139.3989001,35.5619657",
810,0.504201681,"139.5973094,35.80919914",
1065,0.504201681,"139.813673,35.69721479",
1075,0.504201681,"139.7995729,35.67318708",
1109,0.504201681,"139.8112359,35.78472475",
8841,0.503937008,,"139.7340215,35.59835554"
13425,0.503937008,,"139.7538668,35.72391625"
1129,0.503144654,"139.5199827,35.75399834",
6530,0.502354788,,"139.7302876,35.63740051"
1146,0.50209205,"139.4565402,35.57848649",
716,0.501043841,"139.5061402,35.55057047",
1117,0.501043841,"139.8693279,35.69695556",
1115,0.500521376,"139.8392082,35.74994195",
1089,0.5,"139.6607187,35.60385406",
1137,0.5,"139.4723993,35.75927471",
1151,0.5,"139.3949259,35.67172644",
1035,0.498960499,"139.6921517,35.59146391",
1153,0.498960499,"139.338942,35.68494712",
750,0.497925311,"139.5706886,35.61930453",
1103,0.497925311,"139.6688077,35.79063555",
14976,0.497667185,,"139.7352426,35.70163352"
715,0.49689441,"139.5130357,35.51594971",
1123,0.49689441,"139.5771967,35.63488352",
1069,0.495867769,"139.8359308,35.683108",
1085,0.495867769,"139.6095267,35.71886129",
1127,0.495867769,"139.5356108,35.73019027",
1140,0.495867769,"139.4089357,35.69313515",
20201,0.495100567,,"139.7884656,35.71271137"
747,0.494845361,"139.5801745,35.5825609",
1154,0.494845361,"139.3394155,35.63446915",
732,0.49382716,"139.6988564,35.52567143",
798,0.49382716,"139.7061745,35.84263013",
1068,0.49382716,"139.8304067,35.69892926",
1157,0.49382716,"139.3274935,35.65639684",
736,0.492813142,"139.6917463,35.53480131",
787,0.492813142,"139.4333536,35.52772311",
790,0.492813142,"139.3475636,35.58930738",
811,0.492813142,"139.619845,35.78931433",
812,0.492813142,"139.5591043,35.80527145",
817,0.492813142,"139.4647708,35.80122407",
1028,0.492813142,"139.7134883,35.59052764",
1098,0.492813142,"139.585516,35.75775182",
18819,0.492560287,,"139.6800175,35.67391643"
711,0.491803279,"139.5727393,35.5256335",
1099,0.491803279,"139.6310894,35.75931657",
1128,0.491803279,"139.5222183,35.78146073",
1150,0.491803279,"139.4929795,35.63292914",
1171,0.491803279,"139.6300021,35.46052475",
1152,0.491299898,"139.403683,35.65279468",
899,0.490797546,"139.918829,35.67876534",
1147,0.490797546,"139.3851262,35.59473131",
893,0.489795918,"140.039482,35.65031014",
1102,0.489795918,"139.6506132,35.77688066",
1169,0.489795918,"139.6117987,35.46351347",
1111,0.488798371,"139.769647,35.78788634",
38776,0.488549618,,"139.5615518,35.70807085"
743,0.488301119,"139.618578,35.58335776",
692,0.487804878,"139.5382646,35.39725937",
740,0.487804878,"139.6520452,35.56509359",
741,0.487804878,"139.6404892,35.58448928",
754,0.487804878,"139.511556,35.58810925",
767,0.487804878,"139.4491,35.3873245",
710,0.486815416,"139.5817189,35.55385827",
834,0.486815416,"139.8698491,35.8326155",
10628,0.486568677,,"139.7696799,35.55199857"
813,0.48582996,"139.5601211,35.77582119",
1039,0.48582996,"139.6897372,35.73287496",
1138,0.48582996,"139.400839,35.72538485",
16708,0.485093482,,"139.6917738,35.71712659"
1108,0.484848485,"139.8011804,35.74801588",
1114,0.484848485,"139.854527,35.72662459",
1119,0.484848485,"139.8970821,35.69835739",
1143,0.484848485,"139.4265412,35.75049748",
28787,0.484114977,,"139.6416671,35.6230338"
765,0.483870968,"139.469531,35.32823708",
819,0.483870968,"139.4220794,35.78889353",
1112,0.483870968,"139.8666858,35.77777795",
28428,0.483627204,,"139.6714428,35.64180982"
1056,0.482897384,"139.7658736,35.74816947",
1148,0.482897384,"139.4484397,35.64415389",
737,0.481927711,"139.6886585,35.54917358",
753,0.481927711,"139.5139517,35.61150496",
1158,0.481927711,"139.2941787,35.63310795",
1164,0.481927711,"139.279023,35.78618122",
1094,0.480961924,"139.6595186,35.75814865",
