orig/dest node ,ID,coordinates,eigenvector
dest_label,891,"140.0863634,35.6161539",0.060353779
dest_label,970,"140.1852943,35.92250619",0.060353779
dest_label,983,"139.6024778,35.9013475",0.060353779
dest_label,999,"139.6716384,35.87055944",0.060353779
dest_label,762,"139.5913244,35.29894211",0.059313198
dest_label,776,"139.0315104,35.2322522",0.058272616
dest_label,860,"139.6094877,36.1331156",0.058272616
dest_label,866,"139.3810604,36.1232511",0.058272616
dest_label,889,"140.2099157,35.56066679",0.058272616
dest_label,969,"140.1857655,35.97183372",0.058272616
dest_label,792,"139.2979084,35.58110785",0.057232035
dest_label,939,"140.2867861,35.7868327",0.057232035
dest_label,1167,"139.1950951,35.73292595",0.057232035
dest_label,173,"139.622196,35.39987651",0.057232035
dest_label,936,"140.0601307,35.80159378",0.056191453
dest_label,785,"139.4307168,35.44000687",0.055150871
dest_label,881,"140.0882969,35.63544978",0.055150871
dest_label,1181,"139.6238674,35.43589949",0.055150871
dest_label,1163,"139.226359,35.7586995",0.055150871
dest_label,872,"140.1377107,35.61056194",0.05411029
dest_label,998,"139.6861478,35.86002556",0.05411029
dest_label,933,"140.2407947,35.6814429",0.053069708
dest_label,870,"140.1224036,35.60828301",0.053069708
dest_label,714,"139.5371387,35.5262314",0.050988545
dest_label,854,"139.6200392,35.99780222",0.050988545
dest_label,1177,"139.6284277,35.41827301",0.050988545
dest_label,865,"139.2142842,36.10249655",0.049947963
dest_label,868,"139.2659448,36.19825251",0.049947963
dest_label,232,"139.7444432,35.4904141",0.0478668
dest_label,773,"139.1928401,35.29651109",0.0478668
dest_label,51009,"139.1831305,35.53633931",0.0478668
dest_label,874,"140.1319723,35.56040573",0.0478668
dest_label,231,"139.7208405,35.51930562",0.0478668
dest_label,759,"139.659764,35.2516623",0.046826218
dest_label,878,"140.07295,35.65073679",0.046826218
dest_label,884,"140.1442674,35.62950845",0.046826218
dest_label,975,"139.5713985,35.89339994",0.046826218
dest_label,50842,"139.6410983,35.16757805",0.045785637
dest_label,864,"139.4700466,36.14817102",0.045785637
dest_label,867,"139.3564965,36.17443043",0.045785637
dest_label,349,"139.740255,36.07079802",0.044745055
dest_label,964,"140.0358359,35.92217989",0.044745055
dest_label,47540,"139.5040986,35.93998123",0.044745055
dest_label,49957,"139.7241936,35.538173",0.043704474
dest_label,771,"139.3443383,35.36790019",0.043704474
dest_label,962,"140.1165466,36.08730063",0.043704474
dest_label,1005,"139.6966466,35.97647271",0.043704474
dest_label,168,"139.6616087,35.43815423",0.043704474
dest_label,869,"139.1462596,36.19926476",0.042663892
dest_label,448,"140.3015844,35.44980136",0.042663892
dest_label,851,"139.3354725,36.06342507",0.04162331
dest_label,961,"140.1050328,36.05376523",0.04162331
dest_label,781,"139.1930782,35.40923387",0.04162331
dest_label,50851,"139.4187199,35.36373604",0.040582729
dest_label,769,"139.3857002,35.37553723",0.040582729
dest_label,709,"139.6049443,35.55988015",0.039542147
dest_label,888,"140.1696033,35.54641415",0.039542147
dest_label,944,"140.1706011,35.4792124",0.039542147
dest_label,761,"139.6006038,35.27126429",0.039542147
dest_label,863,"139.5532157,36.17263566",0.038501566
dest_label,953,"140.1872558,36.07592598",0.038501566
dest_label,956,"140.2230621,36.01096441",0.038501566
dest_label,756,"139.4802949,35.577127",0.037460984
dest_label,793,"139.2038464,35.6119023",0.037460984
dest_label,885,"140.1325577,35.64046145",0.037460984
dest_label,958,"139.7114384,36.17378443",0.037460984
dest_label,876,"140.1170764,35.6204892",0.036420402
dest_label,439,"139.9657206,35.36399259",0.036420402
dest_label,731,"139.771221,35.52021498",0.036420402
dest_label,49486,"139.1531414,35.60684888",0.036420402
dest_label,440,"139.9937402,35.43847735",0.035379821
dest_label,966,"140.1039883,35.91949867",0.035379821
dest_label,760,"139.6258355,35.22943263",0.035379821
dest_label,946,"139.9091158,35.31651265",0.034339239
dest_label,446,"140.3814087,35.55835709",0.034339239
dest_label,47821,"139.0554067,35.82256402",0.034339239
