ID,ORIG
174,"139.7570442,35.68431018"
175,"139.7570442,35.68431018"
176,"139.7570442,35.68431018"
177,"139.7570442,35.68431018"
178,"139.7570442,35.68431018"
179,"139.7570442,35.68431018"
180,"139.7570442,35.68431018"
181,"139.7570442,35.68431018"
182,"139.7570442,35.68431018"
183,"139.7570442,35.68431018"
184,"139.7570442,35.68431018"
185,"139.7570442,35.68431018"
186,"139.7570442,35.68431018"
187,"139.7570442,35.68431018"
188,"139.7570442,35.68431018"
189,"139.7570442,35.68431018"
190,"139.7570442,35.68431018"
191,"139.7570442,35.68431018"
192,"139.7570442,35.68431018"
193,"139.7570442,35.68431018"
194,"139.7570442,35.68431018"
195,"139.7570442,35.68431018"
196,"139.7570442,35.68431018"
197,"139.7570442,35.68431018"
198,"139.7570442,35.68431018"
199,"139.7570442,35.68431018"
200,"139.7570442,35.68431018"
201,"139.7570442,35.68431018"
202,"139.7570442,35.68431018"
203,"139.7570442,35.68431018"
204,"139.7570442,35.68431018"
205,"139.7570442,35.68431018"
206,"139.7570442,35.68431018"
207,"139.7570442,35.68431018"
208,"139.7570442,35.68431018"
209,"139.7570442,35.68431018"
210,"139.7570442,35.68431018"
211,"139.7570442,35.68431018"
212,"139.7570442,35.68431018"
213,"139.7570442,35.68431018"
214,"139.7570442,35.68431018"
215,"139.7570442,35.68431018"
216,"139.7570442,35.68431018"
217,"139.7570442,35.68431018"
218,"139.7570442,35.68431018"
219,"139.7570442,35.68431018"
220,"139.7570442,35.68431018"
221,"139.7570442,35.68431018"
222,"139.7570442,35.68431018"
223,"139.7570442,35.68431018"
224,"139.7570442,35.68431018"
225,"139.7570442,35.68431018"
226,"139.7570442,35.68431018"
227,"139.7570442,35.68431018"
228,"139.7570442,35.68431018"
229,"139.7570442,35.68431018"
230,"139.7570442,35.68431018"
231,"139.7570442,35.68431018"
232,"139.7570442,35.68431018"
233,"139.7570442,35.68431018"
234,"139.7570442,35.68431018"
235,"139.7570442,35.68431018"
236,"139.7570442,35.68431018"
237,"139.7570442,35.68431018"
238,"139.7570442,35.68431018"
239,"139.7570442,35.68431018"
240,"139.7570442,35.68431018"
241,"139.7570442,35.68431018"
242,"139.7570442,35.68431018"
243,"139.7570442,35.68431018"
244,"139.7570442,35.68431018"
245,"139.7570442,35.68431018"
246,"139.7570442,35.68431018"
247,"139.7570442,35.68431018"
248,"139.7570442,35.68431018"
249,"139.7570442,35.68431018"
250,"139.7570442,35.68431018"
251,"139.7570442,35.68431018"
252,"139.7570442,35.68431018"
253,"139.7570442,35.68431018"
254,"139.7570442,35.68431018"
255,"139.7570442,35.68431018"
256,"139.7570442,35.68431018"
257,"139.7570442,35.68431018"
258,"139.7570442,35.68431018"
259,"139.7570442,35.68431018"
260,"139.7570442,35.68431018"
261,"139.7570442,35.68431018"
262,"139.7570442,35.68431018"
263,"139.7570442,35.68431018"
264,"139.7570442,35.68431018"
265,"139.7570442,35.68431018"
266,"139.7570442,35.68431018"
267,"139.7570442,35.68431018"
268,"139.7570442,35.68431018"
269,"139.7570442,35.68431018"
270,"139.7570442,35.68431018"
271,"139.7570442,35.68431018"
272,"139.7570442,35.68431018"
273,"139.7570442,35.68431018"
274,"139.7570442,35.68431018"
275,"139.7570442,35.68431018"
276,"139.7570442,35.68431018"
277,"139.7570442,35.68431018"
278,"139.7570442,35.68431018"
279,"139.7570442,35.68431018"
280,"139.7570442,35.68431018"
281,"139.7570442,35.68431018"
282,"139.7570442,35.68431018"
283,"139.7570442,35.68431018"
284,"139.7570442,35.68431018"
285,"139.7570442,35.68431018"
286,"139.7570442,35.68431018"
287,"139.7570442,35.68431018"
288,"139.7570442,35.68431018"
289,"139.7570442,35.68431018"
290,"139.7570442,35.68431018"
291,"139.7570442,35.68431018"
292,"139.7570442,35.68431018"
293,"139.7570442,35.68431018"
294,"139.7570442,35.68431018"
295,"139.7570442,35.68431018"
296,"139.7570442,35.68431018"
297,"139.7570442,35.68431018"
298,"139.7570442,35.68431018"
299,"139.7570442,35.68431018"
300,"139.7570442,35.68431018"
301,"139.7570442,35.68431018"
302,"139.7570442,35.68431018"
303,"139.7570442,35.68431018"
304,"139.7570442,35.68431018"
305,"139.7570442,35.68431018"
306,"139.7570442,35.68431018"
307,"139.7570442,35.68431018"
308,"139.7570442,35.68431018"
309,"139.7570442,35.68431018"
310,"139.7570442,35.68431018"
311,"139.7570442,35.68431018"
312,"139.7570442,35.68431018"
313,"139.7570442,35.68431018"
314,"139.7570442,35.68431018"
315,"139.7570442,35.68431018"
316,"139.7570442,35.68431018"
317,"139.7570442,35.68431018"
318,"139.7570442,35.68431018"
319,"139.7570442,35.68431018"
320,"139.7570442,35.68431018"
321,"139.7570442,35.68431018"
322,"139.7570442,35.68431018"
323,"139.7570442,35.68431018"
324,"139.7570442,35.68431018"
325,"139.7570442,35.68431018"
326,"139.7570442,35.68431018"
327,"139.7570442,35.68431018"
328,"139.7570442,35.68431018"
329,"139.7570442,35.68431018"
330,"139.7570442,35.68431018"
331,"139.7570442,35.68431018"
332,"139.7570442,35.68431018"
333,"139.7570442,35.68431018"
334,"139.7570442,35.68431018"
335,"139.7570442,35.68431018"
336,"139.7570442,35.68431018"
337,"139.7570442,35.68431018"
338,"139.7570442,35.68431018"
339,"139.7570442,35.68431018"
340,"139.7570442,35.68431018"
341,"139.7570442,35.68431018"
342,"139.7570442,35.68431018"
343,"139.7570442,35.68431018"
344,"139.7570442,35.68431018"
345,"139.7570442,35.68431018"
346,"139.7570442,35.68431018"
347,"139.7570442,35.68431018"
348,"139.7570442,35.68431018"
349,"139.7570442,35.68431018"
350,"139.7570442,35.68431018"
351,"139.7570442,35.68431018"
352,"139.7570442,35.68431018"
353,"139.7570442,35.68431018"
354,"139.7570442,35.68431018"
355,"139.7570442,35.68431018"
356,"139.7570442,35.68431018"
357,"139.7570442,35.68431018"
358,"139.7570442,35.68431018"
359,"139.7570442,35.68431018"
360,"139.7570442,35.68431018"
361,"139.7570442,35.68431018"
362,"139.7570442,35.68431018"
363,"139.7570442,35.68431018"
364,"139.7570442,35.68431018"
365,"139.7570442,35.68431018"
366,"139.7570442,35.68431018"
367,"139.7570442,35.68431018"
368,"139.7570442,35.68431018"
369,"139.7570442,35.68431018"
370,"139.7570442,35.68431018"
371,"139.7570442,35.68431018"
372,"139.7570442,35.68431018"
373,"139.7570442,35.68431018"
374,"139.7570442,35.68431018"
375,"139.7570442,35.68431018"
376,"139.7570442,35.68431018"
377,"139.7570442,35.68431018"
378,"139.7570442,35.68431018"
379,"139.7570442,35.68431018"
380,"139.7570442,35.68431018"
381,"139.7570442,35.68431018"
382,"139.7570442,35.68431018"
383,"139.7570442,35.68431018"
384,"139.7570442,35.68431018"
385,"139.7570442,35.68431018"
386,"139.7570442,35.68431018"
387,"139.7570442,35.68431018"
388,"139.7570442,35.68431018"
389,"139.7570442,35.68431018"
390,"139.7570442,35.68431018"
391,"139.7570442,35.68431018"
392,"139.7570442,35.68431018"
393,"139.7570442,35.68431018"
394,"139.7570442,35.68431018"
395,"139.7570442,35.68431018"
396,"139.7570442,35.68431018"
397,"139.7570442,35.68431018"
398,"139.7570442,35.68431018"
399,"139.7570442,35.68431018"
400,"139.7570442,35.68431018"
401,"139.7570442,35.68431018"
402,"139.7570442,35.68431018"
403,"139.7570442,35.68431018"
404,"139.7570442,35.68431018"
405,"139.7570442,35.68431018"
406,"139.7570442,35.68431018"
407,"139.7570442,35.68431018"
408,"139.7570442,35.68431018"
409,"139.7570442,35.68431018"
410,"139.7570442,35.68431018"
411,"139.7570442,35.68431018"
412,"139.7570442,35.68431018"
413,"139.7570442,35.68431018"
414,"139.7570442,35.68431018"
415,"139.7570442,35.68431018"
416,"139.7570442,35.68431018"
417,"139.7570442,35.68431018"
418,"139.7570442,35.68431018"
419,"139.7570442,35.68431018"
420,"139.7570442,35.68431018"
421,"139.7570442,35.68431018"
422,"139.7570442,35.68431018"
423,"139.7570442,35.68431018"
424,"139.7570442,35.68431018"
425,"139.7570442,35.68431018"
